,pattern,sup
121,"['team', 'reference', 'email']",7.783444786921102e-07
122,"['team', 'email']",3.1737543975733285e-05
123,"['team', 'thank']",1.7311387623127244e-05
124,"['team', 'drop']",1.538790010944644e-05
125,"['team', 'drop', 'us']",7.325595093572803e-07
126,"['team', 'drop', 'dm']",7.325595093572803e-07
127,"['team', 'drop', 'incident']",7.325595093572803e-07
128,"['team', 'drop', 'number']",7.325595093572803e-07
129,"['team', 'drop', 'reference']",7.325595093572803e-07
130,"['team', 'drop', 'automated']",6.867745400224502e-07
131,"['team', 'drop', 'sent']",6.867745400224502e-07
132,"['team', 'drop', 'email']",6.867745400224502e-07
133,"['team', 'jasmine']",1.0579181325244428e-05
134,"['team', 'thanks']",3.6546262759935296e-05
135,"['team', 'thanks', 'reaching']",8.699144173617702e-07
136,"['team', 'check']",1.154092508208483e-05
137,"['team', 'shortly']",2.8852312705212074e-05
138,"['team', 'working']",2.2120106407329256e-05
139,"['team', 'let']",1.0579181325244428e-05
140,"['team', 'let', 'us']",5.036346626831302e-07
141,"['team', 'let', 'know']",5.036346626831302e-07
142,"['team', 'back']",2.2120106407329256e-05
143,"['team', 'back', 'mike']",5.036346626831302e-07
144,"['team', 'maya']",2.4043593921010063e-05
145,"['team', 'taking']",2.692882519153127e-05
146,"['team', 'taking', 'time']",8.241294480269403e-07
147,"['team', 'taking', 'us']",6.409895706876202e-07
148,"['team', 'details']",2.2120106407329256e-05
149,"['team', 'mike']",3.269928773257368e-05
150,['reach'],0.015146102736300637
151,"['reach', 'team']",2.5967081434690866e-05
152,"['reach', 'team', 'number']",7.783444786921102e-07
153,"['reach', 'team', 'us']",8.241294480269403e-07
154,"['reach', 'team', 'drop']",7.325595093572803e-07
155,"['reach', 'team', 'automated']",7.325595093572803e-07
156,"['reach', 'team', 'please']",8.241294480269403e-07
157,"['reach', 'team', 'dm']",9.156993866966003e-07
158,"['reach', 'team', 'customerfirst']",7.783444786921102e-07
159,"['reach', 'team', 'incident']",7.783444786921102e-07
160,"['reach', 'team', 'submitted']",7.783444786921102e-07
161,"['reach', 'team', 'reference']",7.783444786921102e-07
162,"['reach', 'team', 'sent']",7.325595093572803e-07
163,"['reach', 'team', 'email']",7.783444786921102e-07
164,"['reach', 'visited']",1.3464412595765635e-05
165,"['reach', 'store']",1.2502668838925231e-05
166,"['reach', 'store', 'visited']",5.494196320179601e-07
167,"['reach', 'please']",1.9234875136808048e-05
168,"['reach', 'please', 'number']",7.783444786921102e-07
169,"['reach', 'please', 'us']",7.783444786921102e-07
170,"['reach', 'please', 'drop']",7.325595093572803e-07
171,"['reach', 'please', 'dm']",7.783444786921102e-07
172,"['reach', 'please', 'incident']",7.783444786921102e-07
173,"['reach', 'please', 'reference']",7.783444786921102e-07
174,"['reach', 'please', 'automated']",7.325595093572803e-07
175,"['reach', 'please', 'sent']",7.325595093572803e-07
176,"['reach', 'please', 'email']",7.325595093572803e-07
177,"['reach', 'dm']",0.00013945284474185836
178,"['reach', 'dm', 'number']",1.0072693253662603e-06
179,"['reach', 'dm', 'automated']",8.699144173617702e-07
180,"['reach', 'dm', 'account']",9.156993866966003e-07
181,"['reach', 'dm', 'details']",1.6024739267190505e-06
182,"['reach', 'dm', 'visited']",5.952046013527902e-07
183,"['reach', 'dm', 'store']",5.494196320179601e-07
184,"['reach', 'dm', 'look']",5.494196320179601e-07
