,pattern,sup
124,"['us', 'unfortunately', 'please']",3.556125533851648e-06
125,"['us', 'unfortunately', 'make']",3.3689610320699822e-06
126,"['us', 'unfortunately', 'love']",3.3689610320699822e-06
127,"['us', 'unfortunately', 'batch']",3.556125533851648e-06
128,"['us', 'unfortunately', 'pack']",3.556125533851648e-06
129,"['us', 'unfortunately', 'thank']",3.3689610320699822e-06
130,"['us', 'unfortunately', 'small']",3.556125533851648e-06
131,"['us', 'unfortunately', 'share']",3.556125533851648e-06
132,"['us', 'unfortunately', 'information']",2.9010497776158182e-06
133,"['us', 'unfortunately', 'customer']",2.9010497776158182e-06
134,"['us', 'unfortunately', 'link']",2.9010497776158182e-06
135,"['us', 'unfortunately', 'quality']",3.556125533851648e-06
136,"['us', 'unfortunately', 'issue']",3.556125533851648e-06
137,"['us', 'unfortunately', 'via']",3.556125533851648e-06
138,"['us', 'unfortunately', 'team']",2.9010497776158182e-06
139,"['us', 'unfortunately', 'crumpets']",3.556125533851648e-06
140,"['us', 'unfortunately', 'care']",2.9010497776158182e-06
141,"['us', 'unfortunately', 'right']",2.7138852758341526e-06
142,"['us', 'info']",2.110483828417665e-05
143,"['us', 'number']",2.110483828417665e-05
144,"['us', 'cadbury']",2.2863574807858034e-05
145,"['us', 'cadbury', 'santa']",1.216569261580827e-06
146,"['us', 'cadbury', 'secret']",1.216569261580827e-06
147,"['us', 'muller']",4.0450940044671906e-05
148,"['us', 'muller', 'contact']",2.1523917704891555e-06
149,"['us', 'muller', 'please']",2.1523917704891555e-06
150,"['us', 'muller', 'able']",1.122987010689994e-06
151,"['us', 'muller', 'help']",1.122987010689994e-06
152,"['us', 'gets']",2.8139784378902195e-05
153,"['us', 'gets', 'addressed']",1.3101515124716598e-06
154,"['us', 'gets', 'zb']",1.0294047597991612e-06
155,"['us', 'thank']",0.00041154434654144464
156,"['us', 'post']",2.2863574807858034e-05
157,"['us', 'post', 'looking']",1.122987010689994e-06
158,"['us', 'happy']",4.9244622663078844e-05
159,"['us', 'happy', 'help']",1.0294047597991612e-06
160,"['us', 'happy', 'assist']",1.122987010689994e-06
161,"['us', 'team']",0.001320811129284722
162,"['us', 'team', 'rr']",1.3101515124716598e-06
163,"['us', 'team', 'page']",1.6844805160349911e-06
164,"['us', 'team', 'mk']",1.96522726870749e-06
165,"['us', 'team', 'us']",1.6844805160349911e-06
166,"['us', 'team', 'thank']",2.0120183941529062e-05
167,"['us', 'team', 'assistance']",9.826136343537448e-06
168,"['us', 'team', 'phone']",1.6844805160349911e-06
169,"['us', 'team', 'link']",2.0213766192419895e-05
170,"['us', 'team', 'look']",3.537409083673481e-05
