,pattern,sup
106,"['hello', 'us', 'us']",1.2032268794759357e-06
107,"['hello', 'us', 'number']",4.5941389943626635e-06
108,"['hello', 'us', 'email']",2.6252222824929503e-06
109,"['hello', 'us', 'address']",2.6252222824929503e-06
110,"['hello', 'us', 'contact']",2.0783009736402524e-06
111,"['hello', 'us', 'full']",1.8595324500991733e-06
112,"['hello', 'us', 'dm']",2.4064537589518714e-06
113,"['hello', 'us', 'well']",9.844583559348564e-07
114,"['hello', 'us', 'name']",1.8595324500991733e-06
115,"['hello', 'us', 'details']",1.2032268794759357e-06
116,"['hello', 'us', 'hw']",1.640763926558094e-06
117,"['hello', 'us', 'confirming']",9.844583559348564e-07
118,"['hello', 'us', 'postcode']",1.640763926558094e-06
119,"['hello', 'us', 'natalie']",1.7501481883286336e-06
120,"['hello', 'us', 'order']",3.828449161968886e-06
121,"['hello', 'us', 'including']",1.7501481883286336e-06
122,"['hello', 'us', 'thanks']",2.6252222824929503e-06
123,"['hello', 'us', 'forward']",2.187685235410792e-06
124,"['hello', 'hear']",0.0001460443877575858
125,"['hello', 'hear', 'us']",3.5002963766572672e-06
126,"['hello', 'hear', 'customer']",1.8595324500991733e-06
127,"['hello', 'hear', 'email']",1.7501481883286336e-06
128,"['hello', 'hear', 'address']",1.8595324500991733e-06
129,"['hello', 'hear', 'relations']",1.7501481883286336e-06
130,"['hello', 'hear', 'full']",1.2032268794759357e-06
131,"['hello', 'hear', 'send']",1.3126111412464752e-06
132,"['hello', 'hear', 'dm']",3.062759329575109e-06
133,"['hello', 'hear', 'name']",1.2032268794759357e-06
134,"['hello', 'hear', 'thanks']",2.5158380207224107e-06
135,"['hello', 'hear', 'please']",2.9533750678045693e-06
136,"['hello', 'hear', 'look']",1.3126111412464752e-06
137,"['hello', 'hear', 'number']",2.5158380207224107e-06
138,"['hello', 'hear', 'contact']",1.5313796647875545e-06
139,"['hello', 'hear', 'touch']",9.844583559348564e-07
140,"['hello', 'hear', 'thank']",9.844583559348564e-07
141,"['hello', 'hear', 'postcode']",1.093842617705396e-06
142,"['hello', 'hear', 'natalie']",1.4219954030170148e-06
143,"['hello', 'hear', 'order']",2.187685235410792e-06
144,"['hello', 'hear', 'including']",1.2032268794759357e-06
145,"['hello', 'centre']",2.1906658163637868e-05
146,"['hello', 'reply']",2.1906658163637868e-05
147,"['hello', 'send']",5.598368197374122e-05
148,"['hello', 'send', 'order']",1.2032268794759357e-06
149,"['hello', 'send', 'us']",2.5158380207224107e-06
150,"['hello', 'send', 'number']",1.3126111412464752e-06
