,pattern,sup
117,"['thank', 'country', 'next']",9.668101916538055e-07
118,"['thank', 'country', 'residence']",9.668101916538055e-07
119,"['thank', 'country', 'advise']",9.668101916538055e-07
120,"['thank', 'services']",1.2841536721016331e-05
121,"['thank', 'verizonlive']",1.9262305081524496e-05
122,"['thank', 'macysparade']",1.9262305081524496e-05
123,"['thank', 'advise']",3.595630281884572e-05
124,"['thank', 'advise', 'next']",1.5106409244590713e-06
125,"['thank', 'advise', 'steps']",1.5106409244590713e-06
126,"['thank', 'contact']",2.1830612425727762e-05
127,"['thank', 'see']",1.797815140942286e-05
128,"['thank', 'residence']",2.054645875362613e-05
129,"['thank', 'residence', 'may']",9.668101916538055e-07
130,"['thank', 'residence', 'steps']",9.668101916538055e-07
131,"['thank', 'residence', 'next']",9.668101916538055e-07
132,"['thank', 'residence', 'advise']",9.668101916538055e-07
133,"['thank', 'joining']",2.6967227114134293e-05
134,"['thank', 'joining', 'us']",1.2689383765456198e-06
135,"['thank', 'joining', 'verizonlive']",7.251076437403542e-07
136,"['thank', 'joining', 'macysparade']",7.251076437403542e-07
137,"['thank', 'lovely']",2.1830612425727762e-05
138,"['thank', 'feed']",1.797815140942286e-05
139,"['thank', 'feed', 'back']",8.459589176970799e-07
140,"['thank', 'matter']",2.8251380786235928e-05
141,"['thank', 'matter', 'may']",1.208512739567257e-06
142,"['thank', 'matter', 'along']",8.459589176970799e-07
143,"['thank', 'matter', 'steps']",1.0876614656105312e-06
144,"['thank', 'matter', 'next']",1.0876614656105312e-06
145,"['thank', 'matter', 'country']",7.251076437403542e-07
146,"['thank', 'matter', 'residence']",7.251076437403542e-07
147,"['thank', 'matter', 'advise']",1.0876614656105312e-06
148,"['thank', 'reaching']",1.797815140942286e-05
149,"['thank', 'e']",2.054645875362613e-05
150,"['thank', 'colleagues']",2.5683073442032662e-05
151,"['thank', 'detailing']",2.5683073442032662e-05
152,"['thank', 'detailing', 'next']",1.0876614656105312e-06
153,"['thank', 'detailing', 'matter']",1.208512739567257e-06
154,"['thank', 'detailing', 'may']",1.208512739567257e-06
155,"['thank', 'detailing', 'along']",8.459589176970799e-07
156,"['thank', 'detailing', 'steps']",1.0876614656105312e-06
157,"['thank', 'detailing', 'country']",7.251076437403542e-07
158,"['thank', 'detailing', 'residence']",7.251076437403542e-07
159,"['thank', 'detailing', 'advise']",1.0876614656105312e-06
160,"['thank', 'steps']",3.210384180254083e-05
161,['much'],0.012248230811105062
162,"['much', 'time']",1.4125690393117964e-05
163,"['much', 'effectively']",1.2841536721016331e-05
164,"['much', 'effectively', 'execute']",6.042563697836285e-07
165,"['much', 'effectively', 'issues']",6.042563697836285e-07
166,"['much', 'effectively', 'resolve']",6.042563697836285e-07
167,"['much', 'effectively', 'faster']",6.042563697836285e-07
168,"['much', 'effectively', 'greater']",6.042563697836285e-07
169,"['much', 'effectively', 'efficiency']",6.042563697836285e-07
170,"['much', 'small']",1.4125690393117964e-05
171,"['much', 'resolve']",1.2841536721016331e-05
172,"['much', 'resolve', 'execute']",6.042563697836285e-07
173,"['much', 'resolve', 'issues']",6.042563697836285e-07
174,"['much', 'resolve', 'faster']",6.042563697836285e-07
175,"['much', 'resolve', 'greater']",6.042563697836285e-07
176,"['much', 'resolve', 'efficiency']",6.042563697836285e-07
177,"['much', 'two']",1.5409844065219595e-05
178,"['much', 'two', 'teams']",6.042563697836285e-07
179,"['much', 'two', 'faster']",6.042563697836285e-07
180,"['much', 'two', 'find']",6.042563697836285e-07
181,"['much', 'two', 'side']",6.042563697836285e-07
182,"['much', 'two', 'greater']",6.042563697836285e-07
183,"['much', 'two', 'efficiency']",6.042563697836285e-07
